gene,log2FoldChange,pvalue,t_statistic,mean_group1,mean_group2,padj,abs_log2FC,significant
C19orf35,-0.668945535082857,2.119963269307673e-20,-9.480271595269265,2.9040924778761066,3.5730380129589636,7.35271507188817e-20,0.668945535082857,False
C19orf34,0.035469417897895705,0.404118919515565,0.8346752588089471,0.6712400442477877,0.635770626349892,0.4435104418502259,0.035469417897895705,False
LOC201651,2.0496946066438575,3.691782162005968e-54,16.57803504707813,4.587182079646017,2.5374874730021597,4.526455671394121e-53,2.0496946066438575,True
C19orf36,0.0316262048682141,0.7393415833645084,0.332826602265274,4.931452986725664,4.89982678185745,0.7677808844800943,0.0316262048682141,False
C19orf30,-0.04971040444198094,0.317337723001395,-1.0004916486320685,0.1407075221238938,0.19041792656587475,0.3548065566015266,0.04971040444198094,False
C19orf33,-1.257704664653378,1.641633390843452e-17,-8.691147172208156,8.475049115044246,9.732753779697624,5.0289298747026804e-17,1.257704664653378,True
EPCAM,-1.290517342886906,6.554218176067421e-64,-18.28968383969692,11.872720022123895,13.1632373650108,1.10629740963538e-62,1.290517342886906,True
PGA3,-0.500594527561689,4.454710371805533e-07,-5.0852695964417025,1.015616703539823,1.516211231101512,8.187111748563748e-07,0.500594527561689,False
C19orf39,-0.17040867538561688,1.9935503291945363e-05,-4.288136892840086,6.023484845132742,6.193893520518359,3.30166491560387e-05,0.17040867538561688,False
C19orf38,-0.5208042561019894,2.1593767161957818e-11,-6.779725434035288,4.549993584070797,5.070797840172786,5.000363025785476e-11,0.5208042561019894,False
FAM154A,-0.08194895066801738,0.048584035961487186,-1.9748681338053184,0.4966305309734513,0.5785794816414687,0.06103135998511058,0.08194895066801738,False
KLHL6,-0.3128542178749605,0.0003530094494031887,-3.5864433099883604,7.825817920353982,8.138672138228943,0.0005359974810840771,0.3128542178749605,False
VCX3A,1.2922485103404113,2.7332862379854385e-24,10.466608356134913,2.7151282079646015,1.4228796976241902,1.1166339804436277e-23,1.2922485103404113,True
FAM154B,-0.5689327574590495,1.4078877933055147e-05,-4.366354688294375,4.149934845132743,4.718867602591793,2.3517043751775686e-05,0.5689327574590495,False
PPP1CB,0.37348303818880346,1.6558843025954578e-26,10.997929700523153,13.107086061946902,12.733603023758098,7.390907128486336e-26,0.37348303818880346,False
PPP1CC,0.35712923077658587,1.553339240105581e-29,11.693788475428608,11.768512168141594,11.411382937365008,7.772452151269403e-29,0.35712923077658587,False
KLHL7,0.25016796598749735,2.847854568289284e-10,6.377939878978964,9.577401659292034,9.327233693304537,6.239404465191936e-10,0.25016796598749735,False
MPPED1,3.1805732167090355,7.921654374994095e-83,21.426277117746846,3.636427212389381,0.4558539956803456,2.42010723024895e-81,3.1805732167090355,True
C11orf20,0.22730361102085284,0.003961740972298696,2.8885475285919333,1.7044519911504423,1.4771483801295895,0.005537579421289771,0.22730361102085284,False
C11orf21,-0.8823331191823245,9.069513229417206e-22,-9.836208010767853,3.184901438053097,4.067234557235421,3.340661765081751e-21,0.8823331191823245,False
KLHL4,-0.21527111780615105,0.05104951240349183,-1.9536345888529065,3.893629314159292,4.108900431965443,0.06395397536694254,0.21527111780615105,False
C11orf24,-0.14430832751964218,0.00015070977155375964,-3.8059004642747785,9.846781305309733,9.991089632829375,0.0002350524696097175,0.14430832751964218,False
C22orf25,0.06793992000993754,0.04257085250673403,2.0307388095115586,9.084998451327433,9.017058531317495,0.053828117705468366,0.06793992000993754,False
